@relation PC3

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {FALSE,TRUE}

@data
9,3,0,9,0,8,15,12,21,33,149.28,0.09,11.25,1679.37,0.05,93.3,5,4,1,8,4,3,0.33,2,2,0.67,0.23,1,9,1,0,13.27,0.33,2,8,13,0,FALSE
34,7,0,34,0,44,26,107,246,353,2163.64,0.03,31.61,68400.43,0.72,3800.02,25,22,10,44,22,13,0.38,2,9,0.69,0.31,1,51,6,0.42,68.44,0.46,11,40,42,0,FALSE
16,4,1,16,0,17,15,29,36,65,325,0.08,12.79,4158.09,0.11,231,7,6,3,12,6,4,0.25,2,4,1,0.18,0,14,1,0,25.4,0.25,3,12,22,5.88,FALSE
20,1,0,20,0,25,16,80,147,227,1216.16,0.04,25.6,31133.81,0.41,1729.66,3,2,0,4,2,2,0.1,2,1,0.5,0.09,0,5,1,0,47.51,0.5,1,5,22,0,FALSE
29,2,0,29,0,18,13,58,64,122,604.41,0.05,20.94,12659.07,0.2,703.28,13,12,4,24,12,7,0.24,2,2,0.29,0.22,1,30,3,0.33,28.86,0.43,6,25,32,0,FALSE
34,19,14,34,0,38,20,75,97,172,1007.57,0.05,19.74,19886.3,0.34,1104.79,11,10,7,20,10,6,0.18,2,4,0.67,0.09,1,26,1,0,51.05,0.17,5,22,68,29.17,TRUE
7,0,0,7,0,9,8,16,25,41,167.59,0.14,7.11,1191.72,0.06,66.21,13,6,0,18,9,7,1,3,1,0.14,0.88,1,19,7,1,23.57,1,6,14,8,0,FALSE
34,28,17,25,9,39,16,48,63,111,641.73,0.1,9.85,6318.58,0.21,351.03,11,10,3,20,10,6,0.18,2,5,0.83,0.08,1,26,1,0,65.18,0.17,5,22,80,50.98,FALSE
21,13,13,20,1,22,11,34,51,85,428.77,0.12,8.5,3644.57,0.14,202.48,5,4,8,8,4,3,0.14,2,2,0.67,0.06,0,22,1,0,50.44,0.33,2,21,48,41.18,TRUE
140,7,0,136,4,144,27,426,494,920,6824.42,0.03,39.94,272550.45,2.27,15141.69,85,84,7,168,84,43,0.31,2,27,0.63,0.29,2,232,18,0.4,170.88,0.42,42,191,148,2.86,FALSE
62,4,0,62,0,70,22,210,240,450,2935.6,0.03,33,96874.9,0.98,5381.94,53,48,6,100,50,27,0.44,2.08,23,0.85,0.4,2,124,19,0.69,88.96,0.7,26,99,67,0,FALSE
51,13,42,50,1,74,20,148,177,325,2130.24,0.05,20,42604.83,0.71,2366.93,9,8,7,16,8,5,0.1,2,3,0.6,0.05,3,33,1,0,106.51,0.2,4,30,107,46.24,TRUE
35,7,12,28,7,35,29,85,113,198,1188,0.03,35.21,41834.57,0.4,2324.14,31,26,4,56,28,16,0.46,2.15,6,0.38,0.29,0,68,11,0.67,33.74,0.69,15,54,55,40.43,FALSE
28,14,10,28,0,28,17,58,76,134,735.91,0.06,17.61,12957.24,0.25,719.85,9,8,4,16,8,5,0.18,2,2,0.4,0.09,0,21,1,0,41.8,0.2,4,18,53,26.32,FALSE
137,12,28,137,0,107,20,403,429,832,5814.59,0.03,37.66,218997.95,1.94,12166.55,17,16,4,32,16,9,0.07,2,2,0.22,0.05,4,44,1,0,154.38,0.11,8,37,178,16.97,FALSE
9,0,0,9,0,9,10,16,18,34,144.43,0.11,8.89,1283.82,0.05,71.32,3,2,2,4,2,2,0.22,2,2,1,0.2,2,8,1,0,16.25,0.5,1,8,10,0,FALSE
10,10,8,9,1,21,14,33,39,72,369.31,0.09,11,4062.39,0.12,225.69,5,4,2,8,4,3,0.3,2,1,0.33,0.1,0,12,1,0,33.57,0.33,2,11,29,50,FALSE
30,3,2,26,4,23,18,44,55,99,530.4,0.06,17.22,9132.06,0.18,507.34,9,6,3,14,7,5,0.17,2.33,3,0.6,0.14,5,20,3,0.5,30.81,0.6,4,17,36,18.75,FALSE
58,2,0,58,0,55,17,215,268,483,2980.07,0.03,33.23,99019.72,0.99,5501.1,143,88,8,186,93,72,1.24,2.11,71,0.99,1.18,0,221,70,0.97,89.69,0.97,49,151,61,0,FALSE
42,3,1,38,4,35,22,120,137,257,1499.05,0.03,37.71,56535.7,0.5,3140.87,26,10,4,32,16,14,0.33,3.2,5,0.36,0.3,1,43,9,0.62,39.75,0.64,11,31,47,11.63,TRUE
33,24,12,31,2,32,20,60,87,147,837.96,0.05,18.75,15711.84,0.28,872.88,7,6,4,12,6,4,0.12,2,4,1,0.06,2,19,1,0,44.69,0.25,3,17,70,31.11,TRUE
16,1,0,16,0,10,14,27,37,64,293.44,0.05,18.9,5545.97,0.1,308.11,5,4,0,8,4,3,0.19,2,1,0.33,0.17,2,10,3,1,15.53,1,2,9,18,0,FALSE
15,6,7,14,1,22,11,30,35,65,327.89,0.13,7.5,2459.14,0.11,136.62,5,4,4,8,4,3,0.2,2,3,1,0.1,0,12,1,0,43.72,0.33,2,11,29,36.36,FALSE
12,8,17,12,0,10,10,12,22,34,146.95,0.17,6,881.67,0.05,48.98,3,2,4,4,2,2,0.17,2,2,1,0.05,0,9,1,0,24.49,0.5,1,9,38,58.62,FALSE
18,13,0,14,4,18,13,28,36,64,317.07,0.1,10.11,3205.92,0.11,178.11,7,4,2,10,5,4,0.22,2.5,3,0.75,0.13,1,13,3,0.67,31.36,0.75,3,11,32,22.22,FALSE
39,13,5,38,1,44,19,117,135,252,1506.27,0.04,25.26,38050.55,0.5,2113.92,15,10,3,24,12,8,0.21,2.4,6,0.75,0.14,0,34,5,0.57,59.63,0.63,7,28,58,13.64,FALSE
14,1,1,13,1,12,11,22,28,50,226.18,0.1,10.08,2280.63,0.08,126.7,7,4,0,10,5,4,0.29,2.5,1,0.25,0.24,1,12,3,0.67,22.43,0.75,3,10,17,13.33,FALSE
5,3,1,5,0,5,8,8,10,18,66.61,0.16,6.4,426.29,0.02,23.68,3,2,0,4,2,2,0.4,2,1,0.5,0.2,2,6,1,0,10.41,0.5,1,6,10,16.67,FALSE
21,4,1,20,1,12,19,33,50,83,411.2,0.04,26.13,10742.56,0.14,596.81,15,12,1,26,13,8,0.38,2.17,2,0.25,0.3,1,32,4,0.43,15.74,0.5,7,26,27,9.09,FALSE
21,6,15,16,5,31,16,106,141,247,1371.98,0.04,27.35,37530.39,0.46,2085.02,5,4,2,8,4,3,0.14,2,1,0.33,0.07,2,19,1,0,50.16,0.33,2,18,43,55.56,FALSE
5,2,0,5,0,2,6,4,9,13,39,0.17,6,234,0.01,13,3,2,0,4,2,2,0.4,2,1,0.5,0.25,2,6,1,0,6.5,0.5,1,6,8,0,FALSE
12,12,8,10,2,10,13,19,24,43,194.51,0.08,12.35,2402.24,0.06,133.46,5,4,1,8,4,3,0.25,2,2,0.67,0.09,1,11,1,0,15.75,0.33,2,10,33,50,FALSE
13,7,3,11,2,14,15,33,37,70,340.06,0.06,17.68,6011.75,0.11,333.99,7,4,1,10,5,4,0.31,2.5,2,0.5,0.17,0,11,1,0,19.24,0.25,3,9,24,31.25,FALSE
12,6,9,10,2,18,9,23,26,49,232.99,0.17,5.75,1339.69,0.08,74.43,3,2,6,4,2,2,0.17,2,2,1,0.07,0,11,1,0,40.52,0.5,1,11,28,52.38,TRUE
29,11,22,25,4,17,14,45,51,96,475.6,0.05,18.53,8812.64,0.16,489.59,5,4,2,8,4,3,0.1,2,2,0.67,0.05,0,18,1,0,25.67,0.33,2,17,63,50.98,FALSE
7,1,0,7,0,6,9,13,16,29,113.3,0.1,9.75,1104.67,0.04,61.37,5,4,1,8,4,3,0.43,2,1,0.33,0.33,1,10,1,0,11.62,0.33,2,9,9,0,FALSE
11,14,9,9,2,17,10,31,32,63,299.56,0.11,9.12,2731.26,0.1,151.74,3,2,3,4,2,2,0.18,2,2,1,0.06,1,9,1,0,32.85,0.5,1,9,35,55,FALSE
30,14,3,28,2,20,21,31,59,90,482.18,0.06,16.28,7847.47,0.16,435.97,10,2,1,6,3,7,0.23,3,2,0.29,0.15,0,20,3,0.33,29.63,0.43,2,15,48,15.15,FALSE
24,16,11,20,4,33,17,62,73,135,761.92,0.06,15.97,12167.64,0.25,675.98,13,10,2,22,11,7,0.29,2.2,4,0.57,0.13,0,24,4,0.5,47.71,0.57,6,19,52,42.86,TRUE
14,5,3,13,1,16,13,26,35,61,296.34,0.09,10.56,3130.06,0.1,173.89,7,4,2,10,5,4,0.29,2.5,3,0.75,0.17,0,11,4,1,28.06,1,3,9,23,23.53,FALSE
32,22,33,26,6,29,20,32,52,84,471.64,0.09,11.03,5204.26,0.16,289.13,12,6,9,12,6,7,0.22,2,6,0.86,0.08,0,30,1,0,42.74,0.14,3,25,88,60,FALSE
38,10,0,36,2,37,27,76,95,171,1026,0.04,27.73,28450.7,0.34,1580.59,11,8,7,16,8,6,0.16,2,6,1,0.12,1,25,4,0.6,37,0.67,4,21,49,5.26,FALSE
24,2,0,23,1,17,17,46,61,107,544.36,0.04,23,12520.25,0.18,695.57,9,8,5,16,8,5,0.21,2,5,1,0.19,2,24,5,1,23.67,1,4,21,27,4.17,FALSE
132,25,0,108,24,348,9,951,928,1879,15933.51,0.08,12.3,195940.93,5.31,10885.61,49,48,0,96,48,25,0.19,2,1,0.04,0.16,1,121,1,0,1295.68,0.04,24,98,158,18.18,FALSE
6,0,0,6,0,4,8,5,9,14,50.19,0.2,5,250.95,0.02,13.94,3,2,0,4,2,2,0.33,2,1,0.5,0.29,2,5,1,0,10.04,0.5,1,5,7,0,FALSE
16,4,0,14,2,18,13,29,38,67,331.93,0.1,10.47,3476.06,0.11,193.11,5,4,2,8,4,3,0.19,2,2,0.67,0.14,0,11,1,0,31.7,0.33,2,10,21,12.5,FALSE
7,8,8,6,1,10,11,18,22,40,175.69,0.1,9.9,1739.36,0.06,96.63,5,2,0,8,4,3,0.43,4,1,0.33,0.13,0,7,1,0,17.75,0.33,3,6,24,60,FALSE
6,4,0,6,0,10,8,15,19,34,141.78,0.17,6,850.66,0.05,47.26,3,2,3,4,2,2,0.33,2,2,1,0.18,2,7,1,0,23.63,0.5,1,7,11,0,FALSE
9,1,0,9,0,8,8,28,34,62,248,0.07,14,3472,0.08,192.89,3,2,0,4,2,2,0.22,2,1,0.5,0.18,2,5,1,0,17.71,0.5,1,5,11,0,FALSE
13,1,1,13,0,11,16,32,38,70,332.84,0.04,23.27,7746.14,0.11,430.34,7,6,0,12,6,4,0.31,2,1,0.25,0.25,1,14,1,0,14.3,0.25,3,12,16,7.14,FALSE
8,2,0,8,0,4,13,13,25,38,155.32,0.05,21.12,3281.21,0.05,182.29,9,6,1,14,7,5,0.63,2.33,4,0.8,0.45,1,18,4,0.75,7.35,0.8,4,15,11,0,FALSE
51,15,2,49,2,64,16,140,145,285,1801.75,0.06,17.5,31530.62,0.6,1751.7,5,4,1,8,4,3,0.06,2,1,0.33,0.04,0,10,1,0,102.96,0.33,2,9,69,7.55,TRUE
18,1,0,18,0,18,18,40,48,88,454.95,0.05,20,9099.07,0.15,505.5,11,8,2,18,9,6,0.33,2.25,2,0.33,0.3,4,21,6,1,22.75,1,5,17,20,0,FALSE
13,2,0,13,0,13,14,30,33,63,299.56,0.06,16.14,4839.01,0.1,268.83,5,4,1,8,4,3,0.23,2,1,0.33,0.19,1,12,1,0,18.54,0.33,2,11,16,0,FALSE
15,2,0,15,0,14,11,29,33,62,287.92,0.09,11.39,3280.22,0.1,182.23,3,2,2,4,2,2,0.13,2,2,1,0.11,0,8,1,0,25.27,0.5,1,8,18,0,FALSE
9,1,1,9,0,7,12,17,20,37,157.17,0.07,14.57,2290.24,0.05,127.24,5,4,1,8,4,3,0.33,2,2,0.67,0.25,0,9,1,0,10.79,0.33,2,8,12,10,FALSE
24,15,37,19,5,27,21,41,54,95,530.57,0.06,15.94,8459.67,0.18,469.98,9,8,3,16,8,5,0.21,2,4,0.8,0.06,3,19,4,0.75,33.28,0.8,4,16,77,68.85,TRUE
36,3,0,36,0,30,25,95,137,232,1341.28,0.03,39.58,53092.15,0.45,2949.56,37,24,3,60,30,19,0.53,2.5,6,0.32,0.48,3,68,11,0.56,33.88,0.58,18,51,40,0,FALSE
21,13,6,18,3,27,11,63,75,138,724.21,0.08,12.83,9294.08,0.24,516.34,7,6,3,12,6,4,0.19,2,3,0.75,0.1,1,15,1,0,56.43,0.25,3,13,41,33.33,FALSE
12,1,0,12,0,12,14,22,29,51,239.72,0.08,12.83,3076.44,0.08,170.91,7,6,4,12,6,4,0.33,2,3,0.75,0.29,2,20,3,0.67,18.68,0.75,3,18,14,0,FALSE
45,1,1,43,2,35,29,89,167,256,1536,0.03,36.87,56634.51,0.51,3146.36,22,16,5,32,16,13,0.29,2,10,0.77,0.27,2,54,8,0.58,41.66,0.62,8,43,48,6.52,FALSE
37,1,0,34,3,22,22,92,109,201,1097.35,0.02,46,50477.9,0.37,2804.33,15,14,3,28,14,8,0.22,2,4,0.5,0.21,3,36,1,0,23.86,0.13,7,30,39,8.1,FALSE
47,20,22,38,9,17,24,209,238,447,2394.83,0.01,147.53,353307.23,0.8,19628.18,14,8,1,16,8,9,0.19,2,2,0.22,0.1,2,29,1,0,16.23,0.11,4,22,90,44.93,FALSE
5,1,0,5,0,4,8,5,10,15,53.77,0.2,5,268.87,0.02,14.94,3,2,0,4,2,2,0.4,2,1,0.5,0.29,3,6,1,0,10.75,0.5,1,6,7,0,FALSE
9,4,1,9,0,9,11,12,19,31,133.98,0.14,7.33,982.52,0.04,54.58,5,4,0,8,4,3,0.33,2,1,0.33,0.2,2,10,1,0,18.27,0.33,2,9,15,10,FALSE
19,3,0,2,17,34,11,98,124,222,1219.19,0.06,15.85,19327.77,0.41,1073.76,17,16,0,32,16,9,0.47,2,1,0.11,0.39,1,33,1,0,76.91,0.11,8,26,23,89.47,TRUE
20,17,7,16,4,29,14,60,65,125,678.28,0.07,14.48,9823.41,0.23,545.75,7,6,4,12,6,4,0.2,2,4,1,0.09,1,22,1,0,46.83,0.25,3,20,45,40.74,FALSE
49,3,2,49,0,28,32,117,176,293,1730.72,0.01,66.86,115710.92,0.58,6428.38,37,22,4,54,31,20,0.41,2.45,7,0.35,0.36,2,72,12,0.58,25.89,0.6,16,54,55,3.92,FALSE
4,0,0,4,0,3,6,3,6,9,28.53,0.33,3,85.59,0.01,4.75,3,2,1,4,2,2,0.5,2,2,1,0.4,1,6,1,0,9.51,0.5,1,6,5,0,FALSE
43,16,22,38,5,45,18,67,85,152,908.55,0.07,13.4,12174.52,0.3,676.36,9,8,5,16,8,5,0.12,2,5,1,0.06,1,22,1,0,67.8,0.2,4,19,82,41.54,TRUE
37,5,0,37,0,66,20,124,148,272,1747.94,0.05,18.79,32840.16,0.58,1824.45,29,28,6,56,28,15,0.41,2,15,1,0.23,4,66,14,0.93,93.04,0.93,14,53,65,0,FALSE
14,1,0,14,0,22,16,40,42,82,430.33,0.07,14.55,6259.35,0.14,347.74,13,10,2,22,11,7,0.5,2.2,2,0.29,0.44,0,24,1,0,29.59,0.14,6,19,16,0,FALSE
71,6,0,69,2,55,26,148,202,350,2218.95,0.03,34.98,77622.82,0.74,4312.38,45,42,11,86,43,23,0.32,2.05,19,0.83,0.29,2,108,19,0.82,63.43,0.83,22,87,78,2.82,FALSE
62,35,70,53,9,54,22,117,145,262,1636.96,0.04,23.83,39014.14,0.55,2167.45,19,16,4,34,17,10,0.16,2.13,8,0.8,0.06,0,42,1,0,68.68,0.1,9,34,168,59.85,TRUE
22,3,1,22,0,22,23,39,62,101,554.68,0.05,20.39,11307.85,0.18,628.21,9,4,0,8,4,6,0.27,2,1,0.17,0.22,3,18,1,0,27.21,0.17,2,14,27,4.35,FALSE
8,6,0,6,2,13,13,18,25,43,202.12,0.11,9,1819.07,0.07,101.06,3,2,2,4,2,2,0.25,2,2,1,0.13,1,7,1,0,22.46,0.5,1,7,15,25,FALSE
13,10,7,11,2,16,16,27,35,62,310,0.07,13.5,4185,0.1,232.5,5,2,1,6,3,3,0.23,3,2,0.67,0.1,1,8,3,1,22.96,1,2,7,31,45,FALSE
78,19,12,75,3,54,37,208,263,471,3065.17,0.01,71.26,218421.83,1.02,12134.55,32,24,8,48,24,19,0.24,2,8,0.42,0.17,1,74,5,0.22,43.01,0.26,12,57,110,16.67,FALSE
16,8,0,16,0,17,8,59,60,119,552.62,0.07,13.88,7671.65,0.18,426.2,3,2,0,4,2,2,0.13,2,1,0.5,0.08,0,7,1,0,39.81,0.5,1,7,25,0,FALSE
12,1,0,12,0,6,11,15,21,36,147.15,0.07,13.75,2023.29,0.05,112.41,5,4,0,8,4,3,0.25,2,1,0.33,0.21,1,9,3,1,10.7,1,2,8,14,0,FALSE
36,22,18,28,8,26,19,50,71,121,664.51,0.05,18.27,12140.16,0.22,674.45,9,4,5,8,4,5,0.14,2,5,1,0.06,3,22,1,0,36.37,0.2,2,19,77,48.15,FALSE
19,10,6,18,1,25,16,48,58,106,567.9,0.07,15.36,8722.95,0.19,484.61,9,4,2,12,6,5,0.26,3,3,0.6,0.14,0,17,5,1,36.97,1,4,14,36,28,FALSE
76,41,22,73,3,64,20,161,194,355,2269.27,0.04,25.16,57086.39,0.76,3171.47,31,24,3,54,27,16,0.21,2.25,6,0.38,0.11,0,65,3,0.13,90.21,0.19,15,51,140,25.51,FALSE
5,0,0,5,0,5,7,6,13,19,68.11,0.24,4.2,286.08,0.02,15.89,3,2,0,4,2,2,0.4,2,1,0.5,0.33,2,5,1,0,16.21,0.5,1,5,6,0,FALSE
36,2,0,34,2,30,25,89,107,196,1133.15,0.03,37.08,42020.85,0.38,2334.49,33,26,6,58,29,17,0.47,2.23,7,0.41,0.44,1,68,14,0.81,30.56,0.82,16,53,39,5.56,FALSE
16,1,0,16,0,20,17,41,56,97,505.32,0.06,17.43,8805.15,0.17,489.17,15,12,4,26,13,8,0.5,2.17,5,0.63,0.44,3,34,3,0.29,29,0.38,7,28,18,0,FALSE
31,31,21,26,5,34,16,65,71,136,767.56,0.07,15.29,11739.22,0.26,652.18,9,8,4,16,8,5,0.16,2,4,0.8,0.06,0,26,1,0,50.19,0.2,4,23,84,50,FALSE
13,1,0,13,0,12,22,22,39,61,310.34,0.05,20.17,6258.43,0.1,347.69,7,6,1,12,6,4,0.31,2,2,0.5,0.27,4,15,3,0.67,15.39,0.75,3,13,15,0,FALSE
50,1,0,49,1,39,30,171,213,384,2345.67,0.02,65.77,154273.13,0.78,8570.73,36,28,2,56,28,21,0.42,2,6,0.29,0.4,4,77,9,0.4,35.67,0.43,14,58,52,2,FALSE
121,45,38,117,4,91,22,221,276,497,3389.63,0.04,26.71,90551.52,1.13,5030.64,69,50,2,118,59,35,0.29,2.36,4,0.11,0.17,0,123,3,0.06,126.88,0.09,34,90,205,26.42,TRUE
11,6,0,10,1,15,9,23,25,48,220.08,0.14,6.9,1518.54,0.07,84.36,3,2,6,4,2,2,0.18,2,2,1,0.11,1,10,1,0,31.9,0.5,1,10,18,9.09,TRUE
60,18,9,56,4,46,15,69,96,165,978.57,0.09,11.25,11008.93,0.33,611.61,17,12,5,24,12,10,0.17,2,10,1,0.11,3,36,1,0,86.98,0.1,6,28,88,18.84,FALSE
33,19,17,30,3,29,18,82,101,183,1016.49,0.04,25.45,25867.91,0.34,1437.11,27,14,3,40,20,14,0.42,2.86,5,0.36,0.2,1,40,6,0.38,39.94,0.43,13,28,70,40,FALSE
14,17,12,11,3,17,12,22,27,49,238.04,0.13,7.76,1848.32,0.08,102.68,3,2,3,4,2,2,0.14,2,2,1,0.05,1,8,1,0,30.66,0.5,1,8,44,57.69,FALSE
41,26,4,41,0,39,21,114,129,243,1435.37,0.03,30.69,44054.95,0.48,2447.5,5,4,4,8,4,3,0.07,2,3,1,0.04,1,15,1,0,46.77,0.33,2,14,72,8.89,TRUE
6,4,0,6,0,8,12,15,15,30,129.66,0.09,11.25,1458.65,0.04,81.04,3,2,1,4,2,2,0.33,2,1,0.5,0.18,1,7,1,0,11.53,0.5,1,7,11,0,FALSE
144,10,1,142,2,102,24,319,410,729,5086.44,0.03,37.53,190890.99,1.7,10605.06,49,48,12,96,48,25,0.17,2,22,0.88,0.16,2,135,19,0.75,135.53,0.76,24,112,156,2.07,FALSE
12,11,13,12,0,18,10,23,25,48,230.75,0.16,6.39,1474.26,0.08,81.9,5,4,3,8,4,3,0.25,2,1,0.33,0.08,0,12,1,0,36.12,0.33,2,11,37,52,FALSE
10,5,5,9,1,10,11,13,19,32,140.55,0.14,7.15,1004.96,0.05,55.83,3,2,3,4,2,2,0.2,2,2,1,0.1,1,8,1,0,19.66,0.5,1,8,21,40,FALSE
20,14,4,20,0,27,11,60,59,119,624.5,0.08,12.22,7632.82,0.21,424.05,11,10,1,20,10,6,0.3,2,4,0.67,0.15,0,27,1,0,51.1,0.17,5,23,39,16.67,TRUE
14,3,6,13,1,13,11,26,29,55,252.17,0.09,11,2773.9,0.08,154.11,3,2,0,4,2,2,0.14,2,1,0.5,0.08,1,7,1,0,22.92,0.5,1,7,24,35,FALSE
66,19,39,64,2,43,26,123,145,268,1637.08,0.03,37.19,60876.7,0.55,3382.04,15,14,3,28,14,8,0.12,2,2,0.25,0.06,1,36,4,0.43,44.02,0.5,7,30,125,39.05,FALSE
21,15,5,21,0,22,13,32,41,73,374.44,0.11,9.45,3540.14,0.12,196.67,3,2,8,4,2,2,0.1,2,2,1,0.05,1,14,1,0,39.6,0.5,1,14,42,19.23,TRUE
42,12,2,39,3,38,30,157,271,428,2605.43,0.02,61.97,161468.35,0.87,8970.46,27,18,1,40,20,15,0.36,2.22,6,0.4,0.26,3,59,10,0.64,42.04,0.67,11,46,57,11.36,FALSE
7,2,0,7,0,3,4,3,7,10,28.07,0.5,2,56.15,0.01,3.12,3,2,0,4,2,2,0.29,2,1,0.5,0.2,0,6,1,0,14.04,0.5,1,6,10,0,FALSE
6,7,8,6,0,12,10,16,18,34,151.62,0.15,6.67,1010.8,0.05,56.16,3,2,1,4,2,2,0.33,2,1,0.5,0.09,0,6,1,0,22.74,0.5,1,6,22,57.14,FALSE
19,17,24,16,3,16,15,26,35,61,302.21,0.08,12.19,3683.14,0.1,204.62,3,2,2,4,2,2,0.11,2,2,1,0.03,2,7,1,0,24.8,0.5,1,7,61,62.79,TRUE
24,4,0,24,0,18,11,58,71,129,626.68,0.06,17.72,11106.15,0.21,617.01,17,16,1,32,16,9,0.38,2,1,0.11,0.31,2,35,1,0,35.36,0.11,8,28,29,0,TRUE
28,6,0,28,0,17,20,37,52,89,463.64,0.05,21.76,10091.02,0.15,560.61,9,6,2,14,7,5,0.18,2.33,4,0.8,0.14,2,19,3,0.5,21.3,0.6,4,16,35,0,FALSE
13,12,3,13,0,17,11,22,27,49,235.56,0.14,7.12,1676.64,0.08,93.15,5,2,5,6,3,3,0.23,3,3,1,0.1,0,15,1,0,33.1,0.33,2,14,29,18.75,FALSE
49,16,6,39,10,35,22,45,80,125,729.11,0.07,14.14,10311.72,0.24,572.87,19,6,8,16,8,11,0.22,2.67,8,0.73,0.15,0,35,5,0.4,51.55,0.45,5,26,72,29.09,FALSE
15,1,0,15,0,25,13,43,47,90,472.31,0.09,11.18,5280.46,0.16,293.36,3,2,4,4,2,2,0.13,2,1,0.5,0.12,2,10,1,0,42.25,0.5,1,10,17,0,FALSE
17,0,0,17,0,13,10,29,34,63,284.98,0.09,11.15,3178.67,0.09,176.59,7,6,2,12,6,4,0.24,2,3,0.75,0.22,2,13,1,0,25.55,0.25,3,11,18,0,FALSE
14,2,3,13,1,12,13,19,23,42,195.04,0.1,10.29,2007.31,0.07,111.52,5,4,2,8,4,3,0.21,2,1,0.33,0.15,1,12,1,0,18.95,0.33,2,11,20,23.53,FALSE
6,0,0,6,0,5,10,8,20,28,109.39,0.13,8,875.14,0.04,48.62,5,4,2,8,4,3,0.5,2,3,1,0.43,1,10,3,1,13.67,1,2,9,7,0,FALSE
83,3,1,75,8,59,38,167,258,425,2804.96,0.02,53.78,150849.96,0.93,8380.54,45,32,5,68,34,26,0.31,2.13,19,0.73,0.27,4,104,23,0.88,52.16,0.88,18,80,96,10.71,FALSE
6,1,0,6,0,4,9,8,10,18,66.61,0.11,9,599.47,0.02,33.3,3,2,0,4,2,2,0.33,2,1,0.5,0.25,1,6,1,0,7.4,0.5,1,6,8,0,FALSE
11,4,0,11,0,14,12,25,34,59,277.33,0.09,10.71,2971.35,0.09,165.07,7,2,1,8,4,4,0.36,4,1,0.25,0.25,2,12,1,0,25.88,0.25,3,10,16,0,TRUE
6,0,0,6,0,7,8,9,14,23,89.86,0.19,5.14,462.13,0.03,25.67,3,2,2,4,2,2,0.33,2,2,1,0.29,1,8,1,0,17.47,0.5,1,8,7,0,FALSE
4,0,0,4,0,3,7,3,9,12,39.86,0.29,3.5,139.52,0.01,7.75,3,2,0,4,2,2,0.5,2,1,0.5,0.4,3,5,1,0,11.39,0.5,1,5,5,0,FALSE
27,1,0,22,5,15,22,64,82,146,760.58,0.02,46.93,35696.56,0.25,1983.14,11,10,1,20,10,6,0.22,2,2,0.33,0.21,1,24,4,0.6,16.21,0.67,5,20,29,18.52,FALSE
9,6,0,8,1,13,13,26,29,55,258.51,0.08,13,3360.81,0.09,186.71,9,8,2,16,8,5,0.56,2,3,0.6,0.31,2,16,1,0,19.89,0.2,4,13,16,11.11,FALSE
39,10,0,35,4,45,11,95,104,199,1155.66,0.09,11.61,13418.54,0.39,745.47,5,4,5,8,4,3,0.08,2,3,1,0.06,0,13,1,0,99.53,0.33,2,12,50,10.26,FALSE
15,1,0,15,0,12,18,22,35,57,279.69,0.06,16.5,4614.93,0.09,256.39,3,2,2,4,2,2,0.13,2,2,1,0.12,1,7,1,0,16.95,0.5,1,7,17,0,FALSE
9,2,0,9,0,3,9,9,19,28,100.38,0.07,13.5,1355.12,0.03,75.28,7,6,0,12,6,4,0.44,2,1,0.25,0.33,2,13,4,1,7.44,1,3,11,12,0,FALSE
22,15,6,18,4,28,15,34,43,77,417.82,0.11,9.11,3805.17,0.14,211.4,7,6,5,12,6,4,0.18,2,4,1,0.09,1,16,1,0,45.88,0.25,3,14,44,35.71,FALSE
19,6,9,17,2,19,10,24,30,54,262.33,0.16,6.32,1656.83,0.09,92.05,9,6,2,12,6,5,0.26,2,4,0.8,0.14,1,20,1,0,41.54,0.2,3,17,35,39.29,FALSE
